name_first_last,weight,mlb_g,height_inches,round_sort,round,draft_type,bats,description,height_feet,pick,year,name_last_first,overall,milb_g,team_full,league_full,primary_position,team_abbrev,birth_date,throws,league_id,school,trans_date,signed_sw,round_desc,mlbamPlayerID,mlbamTeamID
Darryl Strawberry,200,Y,6,1,1,JR,L,June Amateur Draft,6,1,1980,"Strawberry, Darryl",1,Y,New York Mets,National League,OF,NYM,1962-03-12T00:00:00,L,104,"Crenshaw HS (Los Angeles, CA)",,N,Round 1,122864,121
Garry Harris,,N,,1,1,JR,,June Amateur Draft,,2,1980,"Harris, Garry",2,N,Toronto Blue Jays,American League,SS,TOR,,,103,"Hoover HS (San Diego, CA)",,N,Round 1,559312,141
Ken Dayley,175,Y,0,1,1,JR,L,June Amateur Draft,6,3,1980,"Dayley, Ken",3,Y,Atlanta Braves,National League,P,ATL,1959-02-25T00:00:00,L,104,Portland,,N,Round 1,113158,144
Mike King,,N,,1,1,JR,,June Amateur Draft,,4,1980,"King, Mike",4,N,Oakland Athletics,American League,P,OAK,,,103,Morningside,,N,Round 1,561062,133
Jeff Pyburn,,N,,1,1,JR,,June Amateur Draft,,5,1980,"Pyburn, Jeff",5,N,San Diego Padres,National League,OF,SD,,,104,Georgia,,N,Round 1,564913,135
Darnell Coles,185,Y,1,1,1,JR,R,June Amateur Draft,6,6,1980,"Coles, Darnell",6,Y,Seattle Mariners,American League,SS,SEA,1962-06-02T00:00:00,R,103,"Eisenhower HS (Rialto, CA)",,N,Round 1,112491,136
Jessie Reid,200,Y,1,1,1,JR,L,June Amateur Draft,6,7,1980,"Reid, Jessie",7,Y,San Francisco Giants,National League,1B,SF,1962-06-01T00:00:00,L,104,Lynwood HS (CA),,N,Round 1,121026,137
Cecil Espy,195,Y,3,1,1,JR,S,June Amateur Draft,6,8,1980,"Espy, Cecil",8,Y,Chicago White Sox,American League,OF,CWS,1963-01-20T00:00:00,R,103,"Point Loma HS (San Diego, CA)",,N,Round 1,113906,145
Ross Jones,185,Y,2,1,1,JR,R,June Amateur Draft,6,9,1980,"Jones, Ross",9,Y,Los Angeles Dodgers,National League,SS,LA,1960-01-14T00:00:00,R,104,Miami (FL),,N,Round 1,116722,119
Kelly Gruber,185,Y,0,1,1,JR,R,June Amateur Draft,6,10,1980,"Gruber, Kelly",10,Y,Cleveland Indians,American League,SS,CLE,1962-02-26T00:00:00,R,103,"Westlake HS (Austin, TX)",,N,Round 1,115209,114
Don Schulze,225,Y,3,1,1,JR,R,June Amateur Draft,6,11,1980,"Schulze, Don",11,Y,Chicago Cubs,National League,P,CHC,1962-09-27T00:00:00,R,104,"Lake Park HS (Roselle, IL)",,N,Round 1,121898,112
Jeff Reed,190,Y,2,1,1,JR,L,June Amateur Draft,6,12,1980,"Reed, Jeff",12,Y,Minnesota Twins,American League,C,MIN,1962-11-12T00:00:00,R,103,"Joliet West HS (Joliet, IL)",,N,Round 1,120993,142
Henry Powell,,N,,1,1,JR,,June Amateur Draft,,13,1980,"Powell, Henry",13,N,Philadelphia Phillies,National League,C,PHI,,,104,"Pine Forest HS (Pensacola, FL)",,N,Round 1,564771,143
Tim Maki,,N,,1,1,JR,,June Amateur Draft,,14,1980,"Maki, Tim",14,N,Texas Rangers,American League,P,TEX,,,103,"Carrol HS (Huntertown, IN)",,N,Round 1,562208,140
Don Collins,,N,,1,1,JR,,June Amateur Draft,,15,1980,"Collins, Don",15,N,St. Louis Cardinals,National League,P,STL,,,104,"Ferguson HS (Newport News, VA)",,N,Round 1,556910,138
Frank Wills,202,Y,2,1,1,JR,R,June Amateur Draft,6,16,1980,"Wills, Frank",16,Y,Kansas City Royals,American League,P,KC,1958-10-26T00:00:00,R,103,Tulane,,N,Round 1,124370,118
Dennis Rasmussen,230,Y,7,1,1,JR,L,June Amateur Draft,6,17,1980,"Rasmussen, Dennis",17,Y,California Angels,American League,P,CAL,1959-04-18T00:00:00,L,103,Creighton,,N,Round 1,120936,108
Glenn Wilson,190,Y,1,1,1,JR,R,June Amateur Draft,6,18,1980,"Wilson, Glenn",18,Y,Detroit Tigers,American League,3B,DET,1958-12-22T00:00:00,R,103,Sam Houston State,,N,Round 1,124398,116
Ron Robinson,,N,,1,1,JR,,June Amateur Draft,,19,1980,"Robinson, Ron",19,N,Cincinnati Reds,National League,P,CIN,,,104,Woodlake HS (CA),,N,Round 1,566032,113
Rick Renteria,172,Y,9,1,1,JR,R,June Amateur Draft,5,20,1980,"Renteria, Rick",20,Y,Pittsburgh Pirates,National League,SS,PIT,1961-12-25T00:00:00,R,104,South Gate HS (CA),,N,Round 1,121075,134
Jim Acker,212,Y,2,1,1,JR,R,June Amateur Draft,6,21,1980,"Acker, Jim",21,Y,Atlanta Braves,National League,P,ATL,1958-09-24T00:00:00,R,104,Texas,,N,Round 1,110033,144
Terry Francona,190,Y,1,1,1,JR,L,June Amateur Draft,6,22,1980,"Francona, Terry",22,Y,Montreal Expos,National League,OF,MON,1959-04-22T00:00:00,L,104,Arizona,,N,Round 1,114378,120
Billy Beane,195,Y,4,1,1,JR,R,June Amateur Draft,6,23,1980,"Beane, Billy",23,Y,New York Mets,National League,P,NYM,1962-03-29T00:00:00,R,104,"Mt. Carmel HS (Rancho Bernardo, CA)",,N,Round 1,110734,121
John Gibbons,187,Y,11,1,1,JR,R,June Amateur Draft,5,24,1980,"Gibbons, John",24,Y,New York Mets,National League,OF,NYM,1962-06-08T00:00:00,R,104,"MacArthur HS (San Antonio, Texas (Choice)",,N,Round 1,114744,121
Dion James,170,Y,1,1,1,JR,L,June Amateur Draft,6,25,1980,"James, Dion",25,Y,Milwaukee Brewers,American League,OF,MIL,1962-11-09T00:00:00,L,103,"McClatchy HS (Sacramento, CA)",,N,Round 1,116476,158
