key_mlbam,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,name_suffix,name_matrilineal,birth_year,birth_month,birth_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last
437205,,abbott002cha,NA,Abbott,Chuck,Charles Anthony,,,1975,1,26,1996,2001,NA,NA
110009,abbotji01,abbott001jam,1000012,Abbott,Jim,James Anthony,,,1967,9,19,1989,1999,1989,1999
110012,abbotky01,abbott002law,1000014,Abbott,Kyle,Lawrence Kyle,,,1968,2,18,1989,1996,1991,1996
110015,abbotpa01,abbott001pau,1061,Abbott,Paul,Paul David,,,1967,9,15,1985,2005,1990,2004
150466,abernbr01,aberna001mic,1192,Abernathy,Brent,Michael Brent,,,1977,9,23,1997,2009,2001,2005
110025,abnersh01,abner-001sha,1000024,Abner,Shawn,Shawn Wesley,,,1966,6,17,1984,1995,1987,1992
110028,abregjo01,abrego001joh,1000027,Abrego,Johnny,Johnny Ray,,,1962,7,4,1981,1987,1985,1985
110033,ackerji01,acker-001jam,1000030,Acker,Jim,James Justin,,,1958,9,24,1980,1993,1983,1992
437055,,adams-008tho,NA,Adams,Tommy,Thomas M.,,,1969,11,26,1991,1996,NA,NA
110068,adamswi02,adams-004wil,1000066,Adams,Willie,William Edward,,,1972,10,8,1993,2000,1996,1997
346793,affelje01,affeld001jer,583,Affeldt,Jeremy,Jeremy David,,,1979,6,6,1997,2015,2002,2015
430894,aguilch01,aguila001chr,2143,Aguila,Chris,Christopher Louis,,,1979,2,23,1997,2013,2004,2008
110090,aguilri01,aguile001ric,1000086,Aguilera,Rick,Richard Warren,,,1961,12,31,1983,2000,1985,2000
110101,akerfda01,akerfe001dar,1000096,Akerfelds,Darrel,Darrel Wayne,,,1962,6,12,1983,1995,1986,1991
441386,,akin--001aar,NA,Akin,Aaron,Aaron S.,,,1977,6,13,1997,2002,NA,NA
459677,,akins-001sid,NA,Akins,Sid,Sidney Wayne,,,1962,11,14,1985,1989,NA,NA
407977,,alexan001cha,NA,Alexander,Chad,Chad Daniel,,,1974,5,22,1995,2004,NA,NA
438753,,alexan001eri,NA,Alexander,Eric,Eric D.,,,1970,8,7,1989,1991,NA,NA
438754,,alexan001jon,NA,Alexander,Jon,Jonathan Christian,,,1966,5,22,1987,1989,NA,NA
437378,,alfano001jef,NA,Alfano,Jeff,Jeffrey Tucker,,,1976,8,16,1996,2002,NA,NA
110136,alicelu01,alicea001lui,584,Alicea,Luis,Luis Rene,,de Jesus,1965,7,29,1986,2002,1988,2002
457177,,allair001kar,NA,Allaire,Karl,Karl Thomas,,,1963,7,21,1984,1992,NA,NA
110137,allanan01,allans001and,1000130,Allanson,Andy,Andrew Neal,,,1961,12,22,1983,1996,1986,1995
150210,allench01,allen-004joh,122,Allen,Chad,John Chad,,,1975,2,6,1996,2007,1999,2005
444821,,allen-001edw,NA,Allen,Ed,Edward Anthony,,,1964,6,13,1982,1986,NA,NA
443001,,allen-011jam,NA,Allen,Ronnie,James Ronald,,,1970,5,10,1991,1995,NA,NA
110165,allenje01,allens001jer,1000148,Allensworth,Jermaine,Jermaine LaMont,,,1972,1,11,1993,2008,1996,1999
150013,,alley-001wil,NA,Alley,Chip,William Charles,,,1976,12,20,1995,2004,NA,NA
134080,alvarga01,alvare002gab,1000194,Alvarez,Gabe,Gabriel de Jesus,,,1974,3,6,1995,2003,1998,2000
110204,alvarta01,alvare002ces,1000200,Alvarez,Tavo,Cesar Octavio,,,1971,11,25,1990,2006,1995,1996
110214,amarari01,amaral001ric,1000205,Amaral,Rich,Richard Louis,,,1962,4,1,1983,2000,1991,2000
443898,,ambros002joh,NA,Ambrose,John,John Michael,,,1974,11,1,1994,2002,NA,NA
459467,,ambros001mar,NA,Ambrose,Mark,Mark Anthony,,,1965,5,2,1986,1991,NA,NA
441340,,amerso001gor,NA,Amerson,Gordie,Gordon Dion,,,1976,10,10,1994,1998,NA,NA
438186,,ames--001ski,NA,Ames,Skip,Skip Allen,,,1974,11,9,1996,1996,NA,NA
459471,,anders001kev,NA,Andersh,Kevin,Kevin Ray,,,1963,10,14,1984,1989,NA,NA
110226,anderal02,anders001all,1000216,Anderson,Allan,Allan Lee,,,1964,1,7,1983,1993,1986,1991
110230,anderbr02,anders002bri,44,Anderson,Brian,Brian James,,,1972,4,26,1993,2005,1993,2005
110231,anderda02,anders004dav,1000223,Anderson,Dave,David Carter,,,1960,8,1,1981,1992,1983,1992
110246,anderke01,anders005ken,1000234,Anderson,Kent,Kent McKay,,,1963,8,12,1984,1993,1989,1990
136724,anderma02,anders004mar,947,Anderson,Marlon,Marlon Ordell,,,1974,1,6,1995,2009,1998,2009
150183,anderma01,anders003mat,459,Anderson,Matt,Matthew Jason,,,1976,8,17,1998,2008,1998,2005
284571,,anders003rya,NA,Anderson,Ryan,Ryan York,,,1979,7,12,1998,2005,NA,NA
346840,,andra-001jef,NA,Andra,Jeff,Jeffrey Louis,,,1975,9,9,1997,2002,NA,NA
150467,andrecl01,andrew002cla,1000247,Andrews,Clayton,Clayton John,,,1978,5,15,1996,2007,2000,2000
110262,andresh01,andrew001dar,1588,Andrews,Shane,Darrell Shane,,,1971,8,28,1990,2004,1995,2002
459489,,andrze001jos,NA,Andrzejewski,Joe,Joseph Paul,,,1970,10,21,1988,1991,NA,NA
150449,ankieri01,ankiel001ric,1142,Ankiel,Rick,Richard Alexander,,,1979,7,19,1998,2013,1999,2013
459498,,ansley001wil,NA,Ansley,Willie,Willie Carl,,,1969,12,15,1989,1995,NA,NA
439191,,anthon001gre,NA,Anthony,Pepper,Gregory Leonard,,,1971,11,9,1991,1993,NA,NA
110293,appieke01,appier001rob,3,Appier,Kevin,Robert Kevin,,,1967,12,6,1987,2006,1989,2004
448586,,ard---001bro,NA,Ard,Johnny,Broni John,,,1967,6,1,1988,1996,NA,NA
110312,ariasal01,arias-001ale,123,Arias,Alex,Alejandro,,,1967,11,20,1987,2005,1992,2002
110325,armstja01,armstr001jac,1000313,Armstrong,Jack,Jack William,,,1965,3,7,1987,2002,1988,1994
150374,arnolja01,arnold001jam,1000319,Arnold,Jamie,James Lee,,,1974,3,24,1992,2002,1999,2000
276520,arroybr01,arroyo001bro,978,Arroyo,Bronson,Bronson Anthony,,,1977,2,24,1995,2017,2000,2017
442907,,arthur001don,NA,Arthurs,Shane,Donald Shane,,,1979,8,30,1997,2005,NA,NA
110345,asadora01,asadoo001ran,1000332,Asadoor,Randy,Randall Carl,,,1962,10,20,1983,1988,1986,1986
110353,ashlebi01,ashley001bil,1000339,Ashley,Billy,Billy Manual,,,1970,7,11,1988,2001,1992,1998
460993,,ashley001sho,NA,Ashley,Shon,Shon Ron,,,1966,10,28,1985,1992,NA,NA
110375,auderi01,aude--001ric,1000361,Aude,Rich,Richard Thomas,,,1971,7,13,1989,1999,1993,1996
110377,augusdo01,august001don,1000364,August,Don,Donald Glenn,,,1963,7,3,1985,2000,1988,1991
110397,averyst01,avery-001ste,1706,Avery,Steve,Steven Thomas,,,1970,4,14,1988,2003,1990,2003
438143,,avrard001cor,NA,Avrard,Corey,Corey Edward,,,1976,12,6,1995,2003,NA,NA
440104,,baber-001a--,NA,Baber,Larue,Allen Larue,,,1972,5,15,1990,1994,NA,NA
438653,,babine001dar,NA,Babineaux,Darrin,Darrin Paul,,,1974,7,10,1995,2002,NA,NA
436255,,bailey005rob,NA,Bailey,Bob,Robert S.,,,1968,8,4,1989,1994,NA,NA
431158,baileje01,bailey001jef,2394,Bailey,Jeff,Jeffrey Todd,,,1978,11,19,1997,2011,2007,2009
110441,bailero01,bailey003cha,1000429,Bailey,Roger,Charles Roger,,,1970,10,3,1992,1999,1995,1997
440066,,baker-002der,NA,Baker,Derek,Derek Kearns,,,1975,10,5,1996,2001,NA,NA
437524,,baker-001ira,NA,Baker,Jared,Ira Jared,,,1971,3,25,1992,1996,NA,NA
439648,,baker-003jas,NA,Baker,Jason,Jason Ryan,,,1974,11,21,1993,2002,NA,NA
461025,,balabo001ant,NA,Balabon,Rick,Anthony Richard,,,1967,4,26,1985,1991,NA,NA
